"ID (REG-[DOC]-[NNN])","Documento/Norma","Subtema (Matriz)","Artigo/Seção/Item","Página/Artigo Nº","Contexto","Texto Literal do Dispositivo","Marcador","Tipo","Criticidade","Aplica-se a","Status Revisão","Observações"
"REG-BCBCADOC-005","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 3.3 — DESCONTO","8","Reportar MDR efetivo ponderado pelo volume financeiro","As tarifas de intercâmbio informadas devem ser as tarifas efetivamente cobradas nas operações do trimestre. O percentual das tarifas de intercâmbio deverá ser calculado pela média ponderada das tarifas pelo volume financeiro.","devem ser as tarifas efetivamente cobradas; deverá ser calculado pela média ponderada","Requisito técnico","Alta","Credenciador","","MDR efetivo — não nominal; ponderado por volume financeiro real das transações"
"REG-BCBCADOC-006","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 4 — Envio","S/N","Procedimento de envio via STA com arquivos em ISO 8859-1 no formato BACEN.zip","O responsável deverá compactar os arquivos no formato ZIP. O formato dos arquivos texto deve ser o ISO 8859-1. Enviar o arquivo BACEN.zip via STA (ASPB034). Caso necessite alterar informações já encaminhadas, deverá corrigir os dados na cópia local e reencaminhar.","deverá compactar; deve ser ISO 8859-1; deverá reencaminhar","Requisito técnico","Alta","Credenciador","","Processo STA — BACEN.zip com 6+ arquivos TXT, encoding ISO 8859-1 obrigatório"
"REG-BCBCADOC-007","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 5 — Validação","S/N","Somente considerado enviado após validação sem inconsistências","Após o recebimento do arquivo com conteúdo indicando ausência de inconsistências, os dados devem ser considerados como efetivamente enviados. Em caso de erros, o credenciador deverá corrigir o arquivo BACEN.ZIP e encaminhá-lo novamente.","devem ser considerados efetivamente enviados","Obrigação regulatória","Alta","Credenciador","","Monitorar validação no STA — dados sem aprovação não constam no reporte BCB"
"REG-BCBCADOC-008","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 7 — Dispensa","S/N","Credenciadoras exclusivas devem solicitar dispensa do CADOC 6308 no CRD","Instituições autorizadas a funcionar pelo BCB que sejam apenas credenciadoras devem solicitar dispensa do documento 6308 e enviar os dados do documento 6334. Para tanto, devem acessar o Sistema de Controle de Remessa de Documentos (CRD).","devem solicitar dispensa; devem acessar o CRD","Obrigação regulatória","Alta","Credenciador","","iFood Pago como credenciador deve solicitar dispensa do 6308 e enviar apenas 6334"
"REG-BCBCADOC-009","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 3 — Responsável","S/N","Informar diretor de SPB e dois técnicos responsáveis com contato institucional","Além do diretor de SPB, devem ser informados dois técnicos responsáveis pelas informações e um e-mail institucional. O campo diretor deve utilizar a expressão 'Diretor'.","devem ser informados","Obrigação regulatória","Média","Credenciador","","Ponto focal BCB — indicar diretor SPB e equipe técnica responsável pelo reporte"
"REG-BCBCADOC-010","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 6.5 — FAQ","S/N","Ativo de cartão: portador com ao menos uma transação nos últimos 180 dias","'Ativo' deve ser o portador de cartão de pagamento que efetuou ao menos uma transação nos últimos 180 dias. Este conceito deve ser seguido independentemente do acompanhamento gerencial realizado pelo credenciador.","deve ser seguido independentemente do acompanhamento gerencial","Requisito técnico","Média","Credenciador","","Definição de cartão ativo (180 dias) — usar para reportar base ativa de portadores"
"REG-PCIDSS4-001","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 3.2.1","67","Proibição de armazenamento de SAD (Sensitive Authentication Data) após autorização","3.2.1: Account data storage is kept to a minimum. Storage of sensitive authentication data (SAD) after authorization is prohibited. The full contents of any track are not retained upon the completion of the authorization process.","is prohibited / not retained after authorization","Proibição","Crítica","Credenciador","","Proibição absoluta de SAD pós-autorização — PAN completo, CVV, PIN track não podem ser armazenados"
"REG-PCIDSS4-002","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 3.4.1","71","PAN armazenado deve ser protegido com criptografia forte ou tokenizado","3.4.1: PAN is rendered unreadable anywhere it is stored. Acceptable methods include: one-way hashes, truncation, index tokens, strong cryptography (AES-256). Alternatively, tokenization may be used.","must be rendered unreadable","Requisito técnico","Crítica","Credenciador","","Tokenização recomendada para PAN — reduz escopo PCI e risco de exposição de dados"
"REG-PCIDSS4-003","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 6.3.3","101","Patches de segurança críticos instalados em até 1 mês após lançamento","6.3.3: All system components are protected from known vulnerabilities by installing applicable security patches/updates. Critical patches must be installed within one month of release.","must be installed within one month","Prazo","Crítica","Credenciador","","Patch management formal — patches críticos em 30 dias, altos em 60 dias, outros em 90 dias"
"REG-PCIDSS4-004","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 6.4.2","104","WAF (Web Application Firewall) para proteção de aplicações web voltadas ao público","6.4.2: A web application firewall (WAF) is deployed in front of public-facing web applications to detect and prevent web-based attacks, and is actively running, kept up-to-date, and generating audit logs.","is deployed; is actively running","Requisito técnico","Alta","Credenciador","","WAF em produção — obrigatório para portais e APIs públicas do credenciador"
"REG-PCIDSS4-005","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 8.2.1","115","IDs únicos para todos os usuários — contas compartilhadas proibidas","8.2.1: All users are assigned a unique ID before allowing them to access system components or cardholder data. Shared, group, or generic IDs are not used to authenticate into system components.","unique ID; shared IDs are not used","Requisito técnico","Alta","Credenciador","","IDs individuais — contas genéricas/compartilhadas proibidas em sistemas de CHD"
"REG-PCIDSS4-006","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 8.3.6","118","MFA obrigatório para acesso não-console ao CDE","8.3.6: Multi-factor authentication (MFA) is implemented for all non-console access into the cardholder data environment (CDE) for personnel with administrative access.","MFA is implemented for all non-console access","Requisito técnico","Crítica","Credenciador","","MFA obrigatório para acesso administrativo ao CDE — TOTP, hardware token ou equivalente"
"REG-PCIDSS4-007","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 8.3.9","120","Senhas de acesso ao CDE devem ter no mínimo 12 caracteres","8.3.9: If passwords/passphrases are used as authentication factors to CDE, they meet a minimum length of at least 12 characters, or if the system does not support 12 characters, a minimum length of eight characters.","minimum length of at least 12 characters","Requisito técnico","Alta","Credenciador","","Política de senhas forte — 12 caracteres mínimos para acesso ao CDE"
"REG-PCIDSS4-008","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 10.2.1","143","Logging completo de acessos a CHD e ações administrativas","10.2.1: Audit logs capture all individual access to cardholder data; all actions taken by root or administrative users; access to all audit trails; invalid logical access attempts; creation and deletion of system-level objects.","audit logs capture all","Requisito técnico","Crítica","Credenciador","","Logging de CHD access — obrigatório e imutável; inclui acesso de admin e raiz"
"REG-PCIDSS4-009","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 10.5.1","147","Retenção de logs por 12 meses — 3 meses disponíveis imediatamente","10.5.1: Retain audit log history for at least 12 months, with at least the most recent three months available for immediate analysis.","retain audit log history for at least 12 months; three months available for immediate analysis","Prazo","Alta","Credenciador","","12 meses de logs totais, 3 meses online para análise imediata"
"REG-PCIDSS4-010","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 12.3.1","165","Risk analysis anual para requisitos PCI com flexibilidade de frequência","12.3.1: Each PCI DSS requirement that provides flexibility for how frequently it is performed is supported with a targeted risk analysis performed at least annually and documented.","performed at least annually","Prazo","Alta","Credenciador","","Risk analysis anual documentado — para cada req. PCI com flexibilidade de frequência"
"REG-PCIDSS4-011","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 12.10.1","172","Plano de Resposta a Incidentes (IRP) formal e pronto para ativação","12.10.1: An incident response plan exists and is ready to be activated in the event of a system breach. The plan includes: roles and responsibilities, response procedures, business recovery and continuity procedures, notification requirements, legal requirements.","exists and is ready to be activated","Obrigação regulatória","Crítica","Credenciador","","IRP para brechas de CHD — deve incluir notificação às bandeiras e ao BCB"
"REG-PCIDSS4-012","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Appendix A2","190","Responsibility Matrix entre Service Provider e clientes — documentação obrigatória","A2.1: Service providers must maintain a documented list of PCI DSS requirements managed by the service provider and those managed by each of their customers. This Shared Responsibility Matrix must be reviewed and updated at least annually.","must maintain a documented list","Requisito técnico","Alta","Credenciador","","Responsibility Matrix — credenciador deve documentar divisão de responsabilidades com sub-adquirentes"
"REG-PCIDSS4-013","PCI-DSS v4.0 — Requisitos para Service Providers/Acquirers","B5","Req. 11.3.1","155","Testes de penetração externos e internos — ao menos anualmente","11.3.1: Internal penetration testing is performed: at least once every 12 months; after any significant infrastructure or application upgrade or change. 11.3.2: External penetration testing is performed at least once every 12 months.","at least once every 12 months","Prazo","Alta","Credenciador","","Pentest anual interno e externo — qualquer mudança significativa requer novo teste"
"REG-LGPD-001","Lei nº 13.709/2018 — LGPD","B4","Art. 6º","6","10 princípios LGPD aplicáveis ao tratamento de dados de portadores e merchants","As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade; II - adequação; III - necessidade; IV - livre acesso; V - qualidade; VI - transparência; VII - segurança; VIII - prevenção; IX - não discriminação; X - responsabilização e prestação de contas","deverão observar","Obrigação regulatória","Crítica","Credenciador","","10 princípios LGPD — aplicam-se ao tratamento de dados de portadores de cartão e estabelecimentos"
"REG-LGPD-002","Lei nº 13.709/2018 — LGPD","B4","Art. 7º, II","7","Base legal para dados de KYC: cumprimento de obrigação legal ou regulatória","O tratamento de dados pessoais somente poderá ser realizado: II - para o cumprimento de obrigação legal ou regulatória pelo controlador","para o cumprimento de obrigação legal ou regulatória","Obrigação regulatória","Alta","Credenciador","","Base legal principal para dados de KYC/PLD — obrigação regulatória BCB"
"REG-LGPD-003","Lei nº 13.709/2018 — LGPD","B4","Art. 11, II, d","11","Base legal para dados sensíveis: prevenção à fraude e autenticação","O tratamento de dados pessoais sensíveis somente poderá ocorrer quando indispensável para: d - prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos","indispensável para prevenção à fraude","Obrigação regulatória","Alta","Credenciador","","Dados biométricos para antifraude e onboarding — base legal: prevenção à fraude"
"REG-LGPD-004","Lei nº 13.709/2018 — LGPD","B4","Art. 37","37","ROPA — registro de atividades de tratamento obrigatório para controladores","O controlador e o operador devem manter registro das operações de tratamento de dados pessoais que realizarem, especialmente quando baseado no legítimo interesse","devem manter registro","Obrigação regulatória","Alta","Credenciador","","ROPA (Record of Processing Activities) — credenciador como controlador de dados de portadores"
"REG-LGPD-005","Lei nº 13.709/2018 — LGPD","B4","Art. 41","41","Designação obrigatória de Encarregado de Dados (DPO)","O controlador deverá indicar encarregado pelo tratamento de dados pessoais. A atividade do encarregado consiste em: I - aceitar reclamações e comunicações dos titulares; II - prestar esclarecimentos; III - orientar os funcionários e contratados","deverá indicar","Obrigação regulatória","Alta","Credenciador","","DPO obrigatório para controladores — credenciador como controlador de CHD deve nomear DPO"
"REG-LGPD-006","Lei nº 13.709/2018 — LGPD","B4","Art. 46","46","Medidas de segurança técnica e administrativa para proteção de dados pessoais","Os agentes de tratamento devem adotar medidas de segurança, técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados e de situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou qualquer forma de tratamento inadequado","devem adotar medidas de segurança","Obrigação regulatória","Crítica","Credenciador","","Segurança técnica e administrativa — complementa PCI-DSS e Res. CMN 4.893/2021"
"REG-LGPD-007","Lei nº 13.709/2018 — LGPD","B4","Art. 48","48","Notificação de incidente de dados pessoais à ANPD em prazo razoável","O controlador deverá comunicar à autoridade nacional e ao titular a ocorrência de incidente de segurança que possa acarretar risco ou dano relevante aos titulares, em prazo razoável conforme definido pela ANPD","deverá comunicar à autoridade nacional","Prazo","Crítica","Credenciador","","Notificação de data breach à ANPD — prazo: 3 dias úteis (Resolução CD/ANPD nº 15/2024)"
"REG-LGPD-008","Lei nº 13.709/2018 — LGPD","B4","Art. 49","49","Privacy by design — sistemas devem incorporar segurança e privacidade na arquitetura","Os sistemas utilizados para o tratamento de dados pessoais devem ser estruturados de forma a atender aos requisitos de segurança, aos padrões de boas práticas e de governança e aos princípios gerais previstos nesta Lei","devem ser estruturados","Requisito técnico","Alta","Credenciador","","Privacy by design — sistemas devem incorporar privacidade desde a arquitetura"
"REG-LGPD-009","Lei nº 13.709/2018 — LGPD","B4","Art. 50","50","Programa de governança em privacidade e código de boas práticas","Os controladores, individualmente ou por meio de associações, poderão formular regras de boas práticas e de governança que estabeleçam as condições de organização, regime de funcionamento, procedimentos, normas de segurança, padrões técnicos e mecanismos internos de supervisão","poderão formular; mecanismos internos de supervisão","Requisito técnico","Média","Credenciador","","Programa de privacidade — ANPD considera como fator de mitigação de risco em fiscalizações"
"REG-LGPD-010","Lei nº 13.709/2018 — LGPD","B4","Art. 38","38","DPIA/RIPD pode ser exigido pela ANPD para tratamentos de alto risco","A autoridade nacional poderá determinar ao controlador que elabore relatório de impacto à proteção de dados pessoais, referente a suas operações de tratamento, observados os segredos comercial e industrial","poderá determinar ao controlador que elabore","Requisito técnico","Alta","Credenciador","⚠️ Verificar","DPIA/RIPD — ANPD pode exigir para biometria e dados financeiros em massa de portadores"
"REG-LGPD-011","Lei nº 13.709/2018 — LGPD","B4","Art. 44","44","Responsabilidade civil do controlador por danos causados por violação da LGPD","O tratamento de dados pessoais será irregular quando não observar a legislação ou quando não fornecer a segurança que o titular pode esperar, causando danos, inclusive por: I - descumprimento das obrigações previstas nesta Lei; II - resultado de tratamento inadequado","causando danos","Sanção","Alta","Credenciador","","Responsabilidade civil objetiva do controlador — fundamento para indenizações a portadores"
